ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"209.33.249.165","elite","AS11071","US","InfoWest, Inc.","23","InfoWest, Inc","5678","socks4","34","5001","2021-08-18T20:41:09.849Z"
"190.226.241.67","elite","AS264691","AR","Servicoop S.A.","201","Servicoop S.A","3629","socks4","36","5003","2021-08-18T20:41:08.248Z"
"178.161.242.252","elite","AS12768","RU","OOO Saturn-R Internet","187","OOO Saturn-R Internet","5678","socks4","34","N/A","2021-08-18T20:41:08.725Z"
"36.94.82.159","elite","AS7713","ID","PT. Telekomunikasi Indonesia","258","Telekomunikasi Indonesia","5678","socks4","34","520","2021-08-18T20:41:07.534Z"
"162.255.108.249","elite","AS54755","US","Desert Winds Wireless","27","Desert Winds Wireless Inc","5678","socks4","46","N/A","2021-08-18T20:41:07.876Z"
"36.92.85.66","elite","AS7713","ID","Telekomunikasi Indonesia","304","Temporary","5678","socks4","43","5001","2021-08-18T20:41:06.147Z"
"160.226.171.102","elite","AS328638","ZA","Letaba Wireless Internet CC","495","N/A","5678","socks4","38","997","2021-08-18T20:41:05.720Z"
"210.210.154.61","elite","AS4787","ID","CBN","207","N/A","5678","socks4","35","5001","2021-08-18T20:41:04.691Z"
"160.119.44.105","elite","AS327804","ZA","Municipal Network Services","289","Trusc","5678","socks4","41","5001","2021-08-18T20:41:03.051Z"
"190.52.136.90","elite","AS27866","PY","CO.PA.CO.","246","CO.PA.CO","5678","socks4","33","519","2021-08-18T20:41:02.012Z"
"190.145.173.202","elite","AS14080","CO","Telmex Colombia S.A.","113","Telmex Colombia S.A.","5678","socks4","34","N/A","2021-08-18T20:41:02.563Z"
"36.92.56.131","elite","AS7713","ID","PT. Telekomunikasi Indonesia","266","Telekomunikasi Indonesia","5678","socks4","33","N/A","2021-08-18T20:41:00.170Z"
"105.112.141.155","elite","AS36873","NG","Airtel Networks Limited","241","ENTERPRISE","5678","socks4","34","1512","2021-08-18T20:41:00.662Z"
"46.188.2.42","elite","AS8334","RU","2COM Co ltd.","190","2COM","5678","socks4","33","5001","2021-08-18T20:40:58.968Z"
"36.92.185.213","elite","AS7713","ID","PT. Telekomunikasi Indonesia","286","Telekomunikasi Indonesia","5678","socks4","28","5001","2021-08-18T20:40:59.000Z"
"104.255.170.63","elite","AS397373","US","H4Y Technologies LLC","23","N/A","53694","socks4","62","47","2021-08-18T20:40:57.619Z"
"160.119.145.207","elite","AS328228","BJ","SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES","N/A","Benin Telecoms Services SA","5678","socks4","28","5001","2021-08-18T20:40:56.214Z"
"103.87.228.217","elite","AS136088","ID","ZITLINE","208","N/A","5678","socks4","32","5001","2021-08-18T20:40:55.430Z"
"45.64.99.228","elite","AS58477","ID","ARGON","205","N/A","5678","socks4","33","449","2021-08-18T20:40:53.298Z"
"91.235.68.142","elite","AS33817","UA","Telegroup-Ukraine","N/A","Subsidiary Enterprise Telegroup-Ukraine","5678","socks4","28","382","2021-08-18T20:40:52.130Z"
"37.130.26.96","elite","AS15874","PL","\"InterKAM\" S.C","187","Interkam Szczepanik Spolka Komandytowa","5678","socks4","28","N/A","2021-08-18T20:40:51.630Z"
